Timestamp,How much time do you read every day?,How much time do you sleep every day?,Are you in a relationship?,Do you attend your class almost regularly?,Do you study in a group?,What is your study materials?,Are you addicted to drug?,Do you like to think at the time of reading?,How much time do you pass by gathering with your friends?,Do you play online games?,Where do you live?,What's your cgpa?
11/4/2019 22:36,read before exam only,7 hours,Yes,Yes,Yes,Both,No,No,above 2 hours,No,With parents,3.23
11/4/2019 22:37,read before exam only,7 hours,Yes,Yes,No,Both,No,Yes,1 hours,No,With parents,3.25
11/4/2019 22:45,3 hours or greater than 3,7 hours,No,Yes,Yes,Both,No,Yes,no gathering,Yes,House rent,3
11/4/2019 22:52,read before exam only,7 hours,Yes,Yes,No,Slide,No,No,no gathering,Yes,With parents,3.938
11/4/2019 23:00,read before exam only,below 6 hours,No,Yes,No,Both,No,Yes,1 hours,Yes,With parents,3.21
11/4/2019 23:02,read before exam only,7 hours,Yes,Yes,Yes,Both,No,Yes,above 2 hours,Yes,Hall,3.37
11/4/2019 23:16,3 hours or greater than 3,below 6 hours,No,Yes,Yes,Both,No,Yes,above 2 hours,No,With parents,3.99
11/4/2019 23:20,read before exam only,7 hours,No,No,No,Slide,No,No,1 hours,Yes,With parents,3.05
11/4/2019 23:20,read before exam only,7 hours,Yes,Yes,Yes,Both,No,Yes,1 hours,No,Hall,3.73
11/4/2019 23:20,3 hours or greater than 3,below 6 hours,No,Yes,Yes,Both,No,Yes,1 hours,Yes,With parents,3.5
11/4/2019 23:21,3 hours or greater than 3,7 hours,No,No,Yes,Both,No,Yes,1 hours,No,With parents,3.14
11/4/2019 23:21,read before exam only,below 6 hours,No,Yes,Yes,Slide,No,Yes,no gathering,No,House rent,2.978
11/4/2019 23:22,read before exam only,7 hours,Yes,No,No,Book,No,Yes,1 hours,No,With parents,3.85
11/4/2019 23:23,read before exam only,below 6 hours,Yes,Yes,Yes,Both,No,Yes,1 hours,No,With parents,3.86
11/4/2019 23:27,3 hours or greater than 3,7 hours,Yes,Yes,No,Book,No,Yes,1 hours,No,Hall,3.12
11/4/2019 23:27,3 hours or greater than 3,below 6 hours,No,Yes,Yes,Both,No,Yes,1 hours,No,With parents,3.5
11/4/2019 23:30,read before exam only,below 6 hours,No,No,Yes,Both,Yes,No,above 2 hours,No,With parents,3.25
11/4/2019 23:31,read before exam only,7 hours,Yes,Yes,No,Both,No,Yes,1 hours,No,Hall,3.41
11/4/2019 23:34,read before exam only,7 hours,No,Yes,No,Book,No,Yes,above 2 hours,No,Hall,3.69
11/4/2019 23:37,read before exam only,above 8 hours,Yes,Yes,Yes,Both,No,No,no gathering,No,House rent,3.7
11/4/2019 23:43,3 hours or greater than 3,7 hours,No,Yes,No,Both,No,No,1 hours,No,With parents,2.9
11/4/2019 23:44,read before exam only,above 8 hours,Yes,No,No,Slide,No,Yes,1 hours,Yes,With parents,3.3
11/4/2019 23:52,1 or 2 hours a day,7 hours,No,Yes,No,Both,No,No,no gathering,No,House rent,3.35
11/4/2019 23:54,read before exam only,7 hours,No,Yes,No,Book,No,Yes,above 2 hours,No,Hall,3.65
11/4/2019 23:58,read before exam only,above 8 hours,No,Yes,No,Both,No,Yes,no gathering,No,Hall,3.18
11/5/2019 0:04,read before exam only,7 hours,Yes,Yes,No,Both,No,Yes,above 2 hours,Yes,House rent,3.89
11/5/2019 0:04,read before exam only,above 8 hours,Yes,No,No,Book,No,No,above 2 hours,Yes,With parents,2.93
11/5/2019 0:25,1 or 2 hours a day,7 hours,Yes,Yes,No,Both,No,Yes,above 2 hours,No,Hall,3.5
11/5/2019 0:31,1 or 2 hours a day,above 8 hours,No,Yes,No,Both,No,Yes,no gathering,No,With parents,3.43
11/5/2019 0:35,read before exam only,7 hours,No,Yes,Yes,Both,No,No,above 2 hours,No,Hall,3.21
11/5/2019 0:46,read before exam only,7 hours,No,Yes,Yes,Both,No,Yes,no gathering,No,Hall,3.44
